#       Timestep            Time        CPU_Time
               1               0        0.530543
               2           0.025        0.816888
               3            0.05          1.0977
               4           0.075         1.37782
               5             0.1         1.65233
               6           0.125         1.94221
               7            0.15         2.24482
               8           0.175         2.54167
               9             0.2         2.83727
              10           0.225         3.13144
